id_cliente;cliente;tipo_cliente
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7425011733;JP.DOS;b2b
7426808519;Gabriel;b2c
7427157816;nelson;b2c
7427157816;nelson;b2c
7427157816;nelson;b2c
7427157816;nelson;b2c
7427157816;nelson;b2c
7427157816;nelson;b2c
7427157816;nelson;b2c
7427157816;nelson;b2c
7427157816;nelson;b2c
7427157816;nelson;b2c
7439425080;Cristiano;b2c
7439425080;Cristiano;b2c
7439425089;Mateus;b2c
7446161298;Paulo;b2c
7446161298;Paulo;b2c
7446161298;Paulo;b2c
7446161298;Paulo;b2c
7439425096;Gianpaolo;b2c
7439425096;Gianpaolo;b2c
7439425096;Gianpaolo;b2c
7439425096;Gianpaolo;b2c
7439425108;Daniel;b2c
7439425116;Alexander;b2c
7439425126;Evandro;b2c
7439425126;Evandro;b2c
7439425126;Evandro;b2c
7439425142;Pui;b2c
7439425142;Pui;b2c
7439425142;Pui;b2c
7439425163;Mitsuo;b2c
7439425163;Mitsuo;b2c
7441337631;Anderson;b2c
7446161326;Wallysson;b2c
7446161326;Wallysson;b2c
7446161326;Wallysson;b2c
7446161348;Rodrigo;b2c
7446161348;Rodrigo;b2c
7446161368;Juliana;b2c
7446161368;Juliana;b2c
7446161368;Juliana;b2c
7446161368;Juliana;b2c
7446161368;Juliana;b2c
7446161368;Juliana;b2c
7446161386;Cezar;b2c
7446161386;Cezar;b2c
7441554707;Mateus;b2c
7449976040;Yuri;b2c
7449976040;Yuri;b2c
7449976040;Yuri;b2c
7449976040;Yuri;b2c
7449976040;Yuri;b2c
7452337429;Amanda;b2c
7455261163;Paulo;b2c
7455261163;Paulo;b2c
7455261163;Paulo;b2c
7455261163;Paulo;b2c
7455261163;Paulo;b2c
7455261163;Paulo;b2c
7455261163;Paulo;b2c
7455261163;Paulo;b2c
7455261163;Paulo;b2c
7455261236;Kelsen;b2c
7455261236;Kelsen;b2c
7455261236;Kelsen;b2c
7455261236;Kelsen;b2c
7455261236;Kelsen;b2c
7455261236;Kelsen;b2c
7455261236;Kelsen;b2c
7455261236;Kelsen;b2c
7455261236;Kelsen;b2c
7455261236;Kelsen;b2c
7455261236;Kelsen;b2c
6990883467;Rafael;b2c
6958493515;Luis;b2c
6958493515;Luis;b2c
6958493515;Luis;b2c
6958493515;Luis;b2c
7488333850;Kezia;b2c
7488333850;Kezia;b2c
7457123522;Felipe;b2c
7477452050;Filipe;b2c
7477452050;Filipe;b2c
7477452050;Filipe;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7477452064;Bruno;b2c
7319562809;Willian;b2c
7477452109;Aislan;b2c
7477452109;Aislan;b2c
7477452109;Aislan;b2c
7477452109;Aislan;b2c
7477452109;Aislan;b2c
7477452109;Aislan;b2c
