id_regiao;nome_estado;nome_regiao
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-022;AM;norte
E-007;RJ;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-005;MG;sudeste
E-005;MG;sudeste
E-005;MG;sudeste
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-002;SC;sul
E-002;SC;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-007;RJ;sudeste
E-001;RS;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-003;PR;sul
E-001;RS;sul
E-001;RS;sul
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-005;MG;sudeste
E-001;RS;sul
E-012;AL;nordeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-006;ES;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-005;MG;sudeste
E-005;MG;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-004;SP;sudeste
E-001;RS;sul
E-001;RS;sul
E-004;SP;sudeste
E-014;CE;nordeste
E-017;PE;nordeste
E-004;SP;sudeste
E-004;SP;sudeste
E-004;SP;sudeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-022;AM;norte
E-022;AM;norte
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-010;GO;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
E-009;MT;centro-oeste
