id_produto;id_cliente;id_regiao;nr_pedido;data_compra;quantidade;unit_venda
6829541177;8836357052;E-007;1630;17/07/2020;70;13,75
8734183153;8836650044;E-004;1632;17/07/2020;1;17,49
7274307421;7967707473;E-001;1633;17/07/2020;50;12
8824433918;7464908997;E-012;1634;17/07/2020;30;5,55
8824433918;7464908997;E-012;1634;17/07/2020;30;5,55
8824433918;7464908997;E-012;1634;17/07/2020;30;5,55
8606020575;7464908997;E-012;1634;17/07/2020;30;5,55
6862786115;7464908997;E-012;1634;17/07/2020;80;5,55
6829205274;7464908997;E-012;1634;17/07/2020;35;5,55
6829205274;7464908997;E-012;1634;17/07/2020;40;5,55
6811363743;8850141911;E-027;1638;17/07/2020;1;15,49
6811360057;8850141931;E-004;1639;17/07/2020;2;15,49
6811362388;8850141961;E-010;1640;17/07/2020;1;15,49
6811359464;8850142008;E-004;1641;17/07/2020;3;15,49
6811364934;8850142008;E-004;1641;17/07/2020;1;21,49
6811357561;8850142053;E-005;1642;17/07/2020;1;13,49
6811357655;8850142053;E-005;1642;17/07/2020;1;13,49
6811356835;8850142053;E-005;1642;17/07/2020;1;13,49
8850376835;7932319428;E-003;1643;19/07/2020;1;17,49
6811362251;8850142134;E-007;1644;19/07/2020;2;13,49
6811358359;8850142134;E-007;1644;19/07/2020;1;13,49
6811356851;8850142134;E-007;1644;19/07/2020;1;13,49
6811357168;8850142134;E-007;1644;19/07/2020;1;13,49
6811358343;8850142134;E-007;1644;19/07/2020;1;13,49
6811356928;8850142134;E-007;1644;19/07/2020;1;13,49
6811359605;8850142134;E-007;1644;19/07/2020;1;13,49
6811361121;8850142134;E-007;1644;19/07/2020;1;13,49
6811360057;8850142198;E-004;1645;19/07/2020;1;15,49
6811360057;8850142198;E-004;1645;19/07/2020;1;15,49
6811359597;8864843661;E-005;1655;19/07/2020;1;13,49
6811356679;8864843661;E-005;1655;19/07/2020;2;13,49
6811357786;8864843661;E-005;1655;19/07/2020;1;13,49
6811358809;8864843661;E-005;1655;19/07/2020;1;13,41
